Date,Average of Temp_2m (celsius),Average of wind_speed,Average of relative_humidity %
1/1/2019,14.1218099,0.962900962,46.05199178
1/2/2019,13.56046957,1.522692169,67.87666321
1/3/2019,14.91728109,2.417743777,53.74478658
1/4/2019,14.25712484,2.219726148,44.7231547
1/5/2019,10.77012534,2.159411379,77.39463806
1/6/2019,13.03556722,1.710643422,61.1782074
1/7/2019,13.87381897,1.636229171,54.71613566
1/8/2019,15.46403911,1.769618895,25.59687297
1/9/2019,15.03378194,2.496571554,47.54575093
1/10/2019,13.28393453,1.259705596,48.99101257
1/11/2019,14.17925415,1.914391372,59.01697795
1/12/2019,11.99495342,3.386314099,79.28342183
1/13/2019,12.65219523,1.07624334,56.98557536
1/14/2019,13.45950724,2.766100105,40.66436768
1/15/2019,15.47464905,1.317892862,26.1092631
1/16/2019,13.41300354,1.413976834,54.16603088
1/17/2019,15.87059428,1.649591499,46.73210144
1/18/2019,14.23406881,1.681525918,49.98512268
1/19/2019,16.90769347,2.11691304,52.52830505
1/20/2019,15.16772359,1.84775645,63.30073039
1/21/2019,10.73482666,2.1143153,87.78879802
1/22/2019,10.41870525,1.551737946,88.39243571
1/23/2019,12.24035542,1.064789654,76.12411499
1/24/2019,12.67429505,0.6535012,65.30115763
1/25/2019,12.8990214,1.21655401,54.60662842
1/26/2019,13.0546051,2.071752337,51.69713338
1/27/2019,14.13831991,2.695318293,35.6207784
1/28/2019,14.49512126,2.597797657,26.68678284
1/29/2019,14.45291545,1.505235903,20.37600199
1/30/2019,13.40444337,1.279964817,51.68408712
1/31/2019,9.703556321,2.075155498,85.67070007
2/1/2019,12.14640706,1.026258302,72.43911743
2/2/2019,16.07491455,2.128392599,51.94859823
2/3/2019,18.3694753,2.318281601,29.27401225
2/4/2019,16.33671468,1.107923876,47.41195679
2/5/2019,16.69169007,1.674634273,41.96474711
2/6/2019,11.34127197,1.975337033,80.4914093
2/7/2019,11.3951711,1.890624779,81.10977173
2/8/2019,12.86795959,3.170529559,74.75001017
2/9/2019,15.3548116,2.196120223,44.92678325
2/10/2019,16.90199178,1.811860547,36.67111715
2/11/2019,19.02610677,1.222022161,36.49917603
2/12/2019,16.89217021,1.565566651,53.9898173
2/13/2019,17.11465352,1.89219134,60.63245137
2/14/2019,12.59494934,1.770643503,85.00500997
2/15/2019,15.37560934,1.420092126,61.34366353
2/16/2019,17.47630717,2.168878347,46.88026428
2/17/2019,15.10056458,1.82483725,59.57661947
2/18/2019,13.01822814,2.669236401,71.64372762
2/19/2019,15.56776835,1.319032454,57.7191925
2/20/2019,14.9489736,2.137386311,64.30727641
2/21/2019,12.4227946,1.162957221,86.60291036
2/22/2019,15.55006307,2.02759699,56.02930705
2/23/2019,17.21147054,2.620490403,47.14780172
2/24/2019,17.58064677,0.971068096,43.71640523
2/25/2019,16.12359009,1.456637515,47.62982686
2/26/2019,10.36851908,4.015424455,78.84455363
2/27/2019,14.73701375,2.285590994,45.58820089
2/28/2019,15.78777975,2.426176799,41.67154948
3/1/2019,13.53222555,1.932246668,67.51022339
3/2/2019,10.89739889,2.556539975,87.13050842
3/3/2019,13.29128419,1.036913107,79.08846537
3/4/2019,17.04835917,2.39466282,61.30414327
3/5/2019,19.38242493,2.157283674,41.51410421
3/6/2019,19.58005168,2.645403362,35.86746216
3/7/2019,17.65677795,1.073423783,51.34343465
3/8/2019,17.7008962,2.185461625,44.17526245
3/9/2019,19.7823934,3.334099649,20.06518046
3/10/2019,21.48668315,1.895694024,18.63522848
3/11/2019,13.19973653,4.196748779,82.67499288
3/12/2019,17.88414409,1.61948254,53.6739095
3/13/2019,17.32486878,1.859556119,50.31913757
3/14/2019,16.5013265,1.423646757,60.04559835
3/15/2019,19.39003398,1.387810038,43.426946
3/16/2019,21.34235535,2.35413712,36.99350993
3/17/2019,23.0914856,1.107968105,28.63782247
3/18/2019,23.0239858,1.060564988,29.53109741
3/19/2019,16.87886963,1.934396166,77.5440979
3/20/2019,16.65193075,1.600006435,71.39607747
3/21/2019,21.48878886,1.021489984,38.56079102
3/22/2019,22.25778605,3.150760128,31.63116455
3/23/2019,19.57399902,2.220949253,56.01153056
3/24/2019,21.42645162,2.643539986,48.14028422
3/25/2019,24.20274759,3.54634845,25.24347941
3/26/2019,24.25706379,3.135517835,13.63782247
3/27/2019,24.81850585,1.981682398,27.34217326
3/28/2019,26.20075378,2.579604418,32.698644
3/29/2019,25.69849548,2.690530246,42.12697347
3/30/2019,23.01086324,3.032235563,45.5255127
3/31/2019,25.01167704,3.566346313,29.0986379
4/1/2019,26.55989481,4.033397529,13.4302775
4/2/2019,27.4779602,1.448964414,4.103139241
4/3/2019,28.27625426,2.670355375,5.363464355
4/4/2019,30.44034729,1.827685484,12.6599884
4/5/2019,30.85417075,1.930438405,17.36368815
4/6/2019,30.08357393,2.100202667,14.71084595
4/7/2019,29.27980194,1.56445754,8.947448731
4/8/2019,29.3286377,1.081671507,14.24463908
4/9/2019,30.22528991,1.695080166,10.59338888
4/10/2019,27.78078105,1.945054509,37.37597148
4/11/2019,27.79089762,2.108038033,32.89499919
4/12/2019,26.59124653,0.77680891,40.27628581
4/13/2019,22.44971619,2.218073086,67.38459269
4/14/2019,25.08156739,2.260403256,54.57969666
4/15/2019,27.26340129,2.029595673,40.85210164
4/16/2019,22.69061686,2.176991629,67.28482564
4/17/2019,17.37678935,0.884044792,89.2435201
4/18/2019,22.74832052,1.631153598,58.91705831
4/19/2019,25.03212382,1.995205509,46.89033508
4/20/2019,27.38416443,2.397154387,45.38157145
4/21/2019,29.01077168,2.464537597,37.98924764
4/22/2019,30.75764364,3.276843738,20.59936523
4/23/2019,30.78800862,2.296842772,26.74779256
4/24/2019,23.82891744,4.219957833,64.86902873
4/25/2019,28.81222432,2.656107292,36.29496257
4/26/2019,27.66330363,1.827367518,45.73242187
4/27/2019,29.50808105,2.92118035,32.0610555
4/28/2019,30.0424235,2.876812718,20.91664632
4/29/2019,30.84836731,1.905806883,11.13497416
4/30/2019,27.21627706,3.413470075,35.31506856
5/1/2019,28.88665771,1.995388339,23.70043945
5/2/2019,28.57515869,1.205822856,18.75994873
5/3/2019,27.31688334,2.044901126,18.80607605
5/4/2019,29.14925537,2.174904799,13.45578003
5/10/2019,30.98467407,1.616044951,2.290344238
5/11/2019,28.4801473,1.815729048,20.8921051
5/12/2019,31.42514445,2.382005445,9.781265259
5/13/2019,32.46799927,1.414601863,4.935119629
5/14/2019,30.59893951,2.697995108,13.57692719
5/15/2019,29.958668,1.77943725,17.76944478
5/16/2019,24.74610291,1.132790247,61.80900574
5/17/2019,25.97769063,1.07687228,54.70199585
5/18/2019,28.12263387,1.928895403,36.78512573
5/19/2019,31.17984416,2.520753803,18.96260579
5/20/2019,29.83696391,3.238033971,19.61949666
5/21/2019,30.97656657,2.127500669,7.715047201
5/22/2019,31.93499146,0.912777123,6.654205322
5/23/2019,27.33551432,2.718665,36.04482015
5/24/2019,23.61341248,1.939648144,67.17419942
5/25/2019,26.18026122,2.12074351,50.1431783
5/26/2019,30.07977702,3.379278935,25.33742269
5/27/2019,30.45866292,2.582073281,9.258117676
5/28/2019,32.26223144,2.952011054,7.11420695
6/4/2019,29.73298034,6.559330463,33.23143005
6/5/2019,32.01255951,2.43366822,15.60329437
6/6/2019,31.76037749,3.480356891,4.966392517
6/7/2019,32.04446819,0.442248305,6.185557047
6/8/2019,33.28231201,1.848517254,2.920684814
6/12/2019,31.16437683,2.048500149,18.85303497
6/13/2019,32.4169047,0.44721074,12.85232544
6/18/2019,32.13474121,1.913150723,17.72982788
6/19/2019,32.86351929,1.746477611,15.39113363
6/20/2019,32.9303833,2.257197428,10.45120239
6/21/2019,31.92385763,1.450407414,30.78137716
6/22/2019,33.48226318,1.361673076,6.531626384
6/23/2019,34.03136597,1.965612015,4.290100098
6/24/2019,30.21854553,3.654862875,33.28023275
6/25/2019,33.65007933,2.472663595,9.434763591
7/2/2019,35.23526917,1.85862856,6.695709229
7/3/2019,37.01455078,2.00262746,10.65038045
7/4/2019,38.49134725,2.126458801,4.731445312
7/5/2019,35.39699199,2.411857534,31.86612447
7/6/2019,29.93944194,2.752688334,57.97818502
7/7/2019,34.24117939,2.116261038,45.15370687
7/8/2019,36.55161947,2.094940226,33.10218811
7/9/2019,32.65410258,2.429527929,56.87749227
7/10/2019,31.63955586,1.692062553,59.30562337
7/11/2019,32.58203533,1.664353225,56.26917521
7/12/2019,30.55424398,2.399242535,68.03868612
7/13/2019,31.24517721,2.240744581,64.34827169
7/14/2019,31.0732666,1.722381571,62.75588989
7/15/2019,29.15903117,1.68698003,71.80511475
7/16/2019,29.10608826,2.162162697,72.57385254
7/17/2019,30.44310912,2.009562001,62.20280965
7/18/2019,28.05106506,1.522972895,78.87868245
7/19/2019,30.59135335,1.800610002,61.52638753
7/20/2019,33.60491842,1.434263693,44.40584818
7/21/2019,33.42020061,1.136909464,50.90192159
7/22/2019,33.12553813,0.993626499,51.37990316
7/23/2019,33.70787963,1.033317604,50.04272461
7/24/2019,34.76118368,1.385652187,50.54674784
7/25/2019,26.56842448,3.450497648,88.81286621
7/26/2019,30.64729716,1.072157256,65.32488505
7/27/2019,26.99223226,2.928133172,82.28418986
7/28/2019,27.96186727,2.075177967,80.84225973
7/29/2019,31.90060323,1.200473884,60.51612854
7/30/2019,33.33548889,1.995360619,56.91368103
7/31/2019,31.08462423,3.634401231,68.67655436
8/1/2019,25.99169312,2.403012235,82.95077006
8/2/2019,31.24500936,1.090196116,66.9304657
8/3/2019,30.4499349,1.443506162,73.97285461
8/4/2019,32.51511027,1.465521138,60.67919413
8/5/2019,33.31199543,1.297977635,56.32044474
8/6/2019,32.20266115,2.333582358,67.71881104
8/7/2019,27.21706035,3.169527847,83.49342346
8/8/2019,33.18928426,1.631264206,57.90466309
8/9/2019,30.25733337,2.67459527,75.16601562
8/10/2019,27.63995768,0.711352438,81.27840678
8/11/2019,31.41217957,2.157831274,61.54899597
8/12/2019,33.08918661,2.181587147,55.27844747
8/13/2019,31.76744486,1.674946378,70.48830668
8/14/2019,27.33151651,2.040342933,81.60113017
8/15/2019,32.40025228,2.657025672,64.32258606
8/16/2019,29.95230509,1.889411525,78.31245422
8/17/2019,26.46161296,1.422144754,80.25479635
8/18/2019,30.54493103,1.967026363,61.05222066
8/19/2019,29.06735128,1.224283244,64.44180806
8/20/2019,30.82188822,2.407608358,52.55561829
8/21/2019,31.90511983,1.580236485,46.14779154
8/22/2019,32.55928955,1.839955621,44.96243795
8/23/2019,32.56468098,2.042663839,49.19484456
8/24/2019,33.53821716,2.255190255,46.22889201
8/25/2019,32.84900818,1.801547886,53.25874329
8/26/2019,29.87412415,1.29651683,67.68953959
8/27/2019,33.13738403,1.315891901,42.81082153
8/28/2019,34.70822551,1.619319626,35.39306641
8/29/2019,35.32203063,2.074909681,36.27431234
8/30/2019,31.5195404,1.969228339,55.82527161
8/31/2019,33.01267904,1.447996857,44.34707642
9/1/2019,34.29203187,1.879923635,45.00813802
9/2/2019,32.36396688,2.123599195,47.89075216
9/3/2019,34.21742147,2.154692732,40.86535136
9/4/2019,34.25283203,2.24260123,46.63024902
9/5/2019,33.09287923,2.354330027,51.43534342
9/6/2019,32.21628723,1.860018453,55.39594015
9/7/2019,29.58671468,1.80240073,59.39598084
9/8/2019,33.41347148,2.305751967,43.62943014
9/9/2019,34.42929483,3.2757578,34.37774658
9/10/2019,34.84878947,2.168351764,23.81439209
9/11/2019,35.01819763,2.664898035,33.87779236
9/12/2019,35.53696594,2.112720854,33.78509521
9/13/2019,33.33957825,2.261373934,41.92026774
9/14/2019,33.32562154,2.497137229,39.60212708
9/15/2019,33.20861715,2.833749035,45.92165629
9/16/2019,31.33827616,2.466094746,43.60402425
9/17/2019,32.32423808,1.84768246,34.09879049
9/18/2019,32.89756673,1.495120904,32.19431559
9/19/2019,29.85549316,3.703912921,65.42551676
9/20/2019,26.8707367,0.956002525,67.35905965
9/21/2019,30.3171224,0.965806936,43.48175049
9/22/2019,31.95712688,1.413505975,34.98051961
9/23/2019,29.40813599,1.616028246,64.5144399
9/24/2019,30.11526388,1.116825156,64.41322327
9/25/2019,29.60072224,1.814515308,61.53940837
9/26/2019,30.96579895,1.675358171,54.6156311
9/27/2019,28.60915527,1.333430411,67.11204529
9/28/2019,25.00577188,1.384947798,78.80444845
9/29/2019,26.51688537,1.634830451,68.67434184
9/30/2019,29.17725017,1.711958902,52.81433105
10/1/2019,25.18884176,1.668859363,66.36512756
10/2/2019,27.70973104,1.359610524,57.37953186
10/3/2019,26.51505432,2.311080514,59.47522481
10/4/2019,24.3886556,0.748683284,58.57383728
10/5/2019,26.74683025,2.323624357,41.60873413
10/6/2019,25.28307495,2.524316605,46.38496399
10/7/2019,25.98074748,1.000549883,39.93136088
10/8/2019,27.66575521,1.434703513,28.74346415
10/9/2019,28.5837087,1.672604994,27.14505513
10/10/2019,28.7796875,2.075983737,26.45731608
10/11/2019,28.90737813,1.615957546,22.97375997
10/12/2019,29.2085968,1.722068575,29.34443156
10/13/2019,29.50189616,2.727212053,25.77275594
10/14/2019,29.41726074,2.351691971,31.41787211
10/15/2019,29.39032898,2.03319658,35.68049113
10/16/2019,29.21196391,1.730185438,37.53766378
10/17/2019,27.03696594,1.355413413,54.98153687
10/18/2019,22.31089172,1.614322952,55.67464193
10/19/2019,24.78563335,1.001845762,31.47165934
10/20/2019,25.74622497,1.482145715,23.56765747
10/21/2019,26.42954407,2.283610551,16.4507548
10/22/2019,26.88660075,2.352788569,13.91685486
10/23/2019,26.47822876,1.772319079,11.93563843
10/24/2019,26.88422241,1.913587649,12.64465332
10/25/2019,26.82807312,1.402677055,15.45799256
10/26/2019,26.75270995,2.390498567,12.65368144
10/27/2019,25.60997925,2.973602622,18.52775574
10/28/2019,26.04413757,2.395726045,15.25436401
10/29/2019,26.75962728,2.326835215,21.05763753
10/30/2019,26.49891052,1.694242262,33.68082682
10/31/2019,26.57031148,0.913662689,28.94121806
11/1/2019,21.6257721,2.909640626,51.99043274
11/2/2019,24.1863088,2.7358062,39.65375265
11/3/2019,24.57605896,2.130045073,38.69186401
11/4/2019,24.66156921,2.488395771,26.04248047
11/5/2019,24.63289286,2.288939611,18.64700317
11/6/2019,17.11768494,3.555719512,80.49756368
11/7/2019,15.12595011,4.018406273,80.70526123
11/8/2019,18.81383158,1.990864893,53.45044454
11/9/2019,22.07702535,2.219069595,34.9009196
11/10/2019,22.5432068,1.110753811,31.63495382
11/11/2019,21.91941732,1.4858597,27.5957489
11/12/2019,21.02075602,1.504675299,37.05032348
11/13/2019,20.26448974,1.378313683,49.32922363
11/14/2019,21.70742695,0.966754874,50.65877279
11/15/2019,17.30070903,1.542332328,81.21546427
11/16/2019,17.50574646,1.967131227,77.35183716
11/17/2019,19.31372477,3.008316029,58.33002726
11/18/2019,20.53611653,2.546429782,41.41606649
11/19/2019,19.95355123,1.47923094,43.01859538
11/20/2019,18.48262939,0.92016514,54.95173136
11/21/2019,16.83411051,3.107834234,71.04268392
11/22/2019,15.39138183,2.592638188,77.73330688
11/23/2019,18.0184316,2.075182041,64.27978516
11/24/2019,18.99857992,1.103348237,54.41668193
11/25/2019,19.86667277,1.226300036,57.72107442
11/26/2019,18.1919342,1.043812562,64.98163859
11/27/2019,14.87296955,1.462707216,82.21331279
11/28/2019,16.12569071,0.96093221,68.55201721
11/29/2019,16.85382486,0.974273907,43.31871033
11/30/2019,18.42129415,2.480466054,37.34611511
12/1/2019,18.23559469,1.981676342,32.76023865
12/2/2019,18.15067952,2.134082718,28.24030558
12/3/2019,18.22770589,2.194345129,27.49186198
12/4/2019,18.02640686,0.993188981,24.18841044
12/5/2019,17.03195089,0.835294317,44.90689596
12/6/2019,17.47172445,1.814967806,40.23475647
12/7/2019,18.56010844,1.584109339,25.44158936
12/8/2019,17.69880067,1.22856372,29.10181681
12/9/2019,16.27518616,0.648230837,41.23797099
