system:index,AOD,date,.geo
MCD19A2_A2019002_h24v05_061_2023123155514_01,376.40605296343,2019-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019002_h24v05_061_2023123155514_04,388.9142496847415,2019-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019003_h24v05_061_2023123161709_02,343.0479192938209,2019-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019003_h24v05_061_2023123161709_03,239.91172761664563,2019-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019003_h24v05_061_2023123161709_04,205.484237074401,2019-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019006_h24v05_061_2023123171653_03,467.65069356872624,2019-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019006_h24v05_061_2023123171653_04,509.2849936948297,2019-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019007_h24v05_061_2023123180402_01,318.8511979823455,2019-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019009_h24v05_061_2023123185709_01,185.73644388398486,2019-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019009_h24v05_061_2023123185709_04,192.61916771752837,2019-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019013_h24v05_061_2023123201047_03,300.9810844892812,2019-01-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019013_h24v05_061_2023123201047_04,377.7137452711224,2019-01-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019015_h24v05_061_2023123204812_03,225.66960907944514,2019-01-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019017_h24v05_061_2023123220530_02,235.76923076923077,2019-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019017_h24v05_061_2023123220530_03,238.6027742749054,2019-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019023_h24v05_061_2023123235421_01,336.9457755359395,2019-01-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019023_h24v05_061_2023123235421_03,347.5737704918033,2019-01-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019024_h24v05_061_2023124000842_04,406.0,2019-01-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019026_h24v05_061_2023124004645_02,422.59142496847414,2019-01-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019026_h24v05_061_2023124004645_03,234.8814627994956,2019-01-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019027_h24v05_061_2023124010016_03,226.69482976040354,2019-01-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019027_h24v05_061_2023124010016_04,198.89785624211854,2019-01-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019028_h24v05_061_2023124011249_02,194.9810844892812,2019-01-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019029_h24v05_061_2023124012539_03,186.01639344262296,2019-01-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019032_h24v05_061_2023124020548_01,1047.6190476190477,2019-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019033_h24v05_061_2023124022857_03,387.9558638083228,2019-02-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019034_h24v05_061_2023124030219_01,237.687263556116,2019-02-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019034_h24v05_061_2023124030219_03,213.20554854981086,2019-02-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019034_h24v05_061_2023124030219_04,329.97477931904166,2019-02-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019036_h24v05_061_2023124041306_04,411.0,2019-02-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019039_h24v05_061_2023124062847_03,474.5561160151324,2019-02-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019040_h24v05_061_2023124071600_03,228.25220680958387,2019-02-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019041_h24v05_061_2023124075131_01,222.7087011349306,2019-02-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019041_h24v05_061_2023124075131_04,330.13114754098365,2019-02-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019047_h24v05_061_2023124112120_03,360.4489281210593,2019-02-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019047_h24v05_061_2023124112120_04,408.8915510718789,2019-02-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019050_h24v05_061_2023124130633_01,388.0,2019-02-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019050_h24v05_061_2023124130633_04,658.1500630517024,2019-02-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019053_h24v05_061_2023124135355_02,299.83480453972254,2019-02-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019053_h24v05_061_2023124135355_04,252.0,2019-02-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019055_h24v05_061_2023124143106_01,402.41614123581337,2019-02-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019055_h24v05_061_2023124143106_03,467.1428571428571,2019-02-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019056_h24v05_061_2023124151516_04,566.4035308953341,2019-02-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019058_h24v05_061_2023124154530_02,497.3871374527112,2019-02-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019058_h24v05_061_2023124154530_03,403.90037831021436,2019-02-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019059_h24v05_061_2023124163052_04,411.0,2019-02-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019063_h24v05_061_2023124174511_03,352.02269861286254,2019-03-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
