system:index,AOD,date,.geo
MCD19A2_A2019002_h24v05_061_2023123155514_01,368.4087591240876,2019-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019002_h24v05_061_2023123155514_03,266.515,2019-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019002_h24v05_061_2023123155514_04,350.255,2019-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019003_h24v05_061_2023123161709_02,321.40000000000003,2019-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019003_h24v05_061_2023123161709_03,189.225,2019-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019003_h24v05_061_2023123161709_04,238.25500000000002,2019-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019006_h24v05_061_2023123171653_03,400.19,2019-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019006_h24v05_061_2023123171653_04,478.24500000000006,2019-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019007_h24v05_061_2023123180402_01,277.275,2019-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019007_h24v05_061_2023123180402_03,349.57664233576645,2019-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019008_h24v05_061_2023123184228_03,415.0,2019-01-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019009_h24v05_061_2023123185709_01,155.355,2019-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019009_h24v05_061_2023123185709_04,218.485,2019-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019013_h24v05_061_2023123201047_03,287.08,2019-01-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019013_h24v05_061_2023123201047_04,317.10499999999996,2019-01-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019015_h24v05_061_2023123204812_03,215.94000000000003,2019-01-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019015_h24v05_061_2023123204812_04,178.0,2019-01-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019017_h24v05_061_2023123220530_02,175.66500000000002,2019-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019017_h24v05_061_2023123220530_03,144.85500000000002,2019-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019023_h24v05_061_2023123235421_01,312.245,2019-01-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019023_h24v05_061_2023123235421_03,331.38000000000005,2019-01-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019024_h24v05_061_2023124000842_03,395.3733333333333,2019-01-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019024_h24v05_061_2023124000842_04,286.86,2019-01-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019025_h24v05_061_2023124002756_01,421.275,2019-01-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019025_h24v05_061_2023124002756_04,435.38095238095235,2019-01-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019026_h24v05_061_2023124004645_02,313.06,2019-01-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019026_h24v05_061_2023124004645_03,212.91000000000003,2019-01-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019027_h24v05_061_2023124010016_03,153.45,2019-01-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019027_h24v05_061_2023124010016_04,216.26000000000002,2019-01-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019028_h24v05_061_2023124011249_02,174.955,2019-01-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019028_h24v05_061_2023124011249_04,142.0,2019-01-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019029_h24v05_061_2023124012539_03,127.97000000000001,2019-01-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019029_h24v05_061_2023124012539_04,306.0,2019-01-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019032_h24v05_061_2023124020548_01,1046.13,2019-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019032_h24v05_061_2023124020548_03,763.9066666666666,2019-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
